Clave,Descripcion,Linea,Unidad_Medida
 075210GRE32NG,BORCEGUI GRE TIGER POLIC. DIE T32 NG,7,PAR
001000BOR0000,BORDADO   IMPRESOS,0,NO APLICA
004100PRI0000,SERVICIO DE PAQUETERIA,0,NO APLICA
011000AMB00BC,COFIA AMB 440103020 PLISADA BC ,1,PIEZA
011010ALY00BC,COFIA ALY LGBP2 PLISADA DE 21 BC ,1,PIEZA
011010AMS0000,CABEZAL AM 5 LLAVES AM55 VICERA GD ,1,PIEZA
011020AMS0000,CABEZAL AM DE ALUMINIO AM2AL ,1,PIEZA
011030AMS0000,CABEZAL AM TUNIVERSAL AM2 ,1,PIEZA
011035APA00AM,SOLAPA DE MALLA MRS  PCASCO AM ,1,PIEZA
011035APA00NJ,SOLAPA DE MALLA MRS PCASCO NJ ,1,PIEZA
011370INF00NG,CARETA INFRA ELECTRONICA 2SC702NEGRA ,1,PIEZA
0113903MM00AC,CACHUCHA 3M CSUSP. MATRACA H703R AC D,1,PIEZA
0113903MM00AM,CACHUCHA 3M CSUSP. MATRACA H702R AM D,1,PIEZA
0113903MM00AZ,CACHUCHA 3M CSUSP. MATRACA H710R AZ D,1,PIEZA
0113903MM00BC,CACHUCHA 3M CSUSP. MATRACA H701R BC D,1,PIEZA
0113903MM00NJ,CACHUCHA 3M CSUSP. MATRACA H706R NJ D,1,PIEZA
0113903MM00RJ,CACHUCHA 3M CSUSP. MATRACA H705R RJ D,1,PIEZA
0113903MM00VD,CACHUCHA 3M CSUSP. MATRACA H704R VD D,1,PIEZA
011500DER00BC,COFIA DERMA PLISADA RDCP08 BC ,1,PIEZA
011601DER02AZ,COFIA DERMA TIPO HONGO RDCO02 AZ ,1,KIT
011601DER08BC,COFIA DERMA  HONGO RDCO08 BC ,1,PIEZA
011800INF00NG,BARBUQUEJO INFRA SMENTON 12254 NEGRO ,1,PIEZA
011801INF00NG,BARBUQUEJO INFRA CMENTON 12254B ,1,PIEZA
011840VAL00AZ,GORRA PROTECTORA CIMPACTOS 5913 AZ ,1,PIEZA
011850INF0000,CARETA INFRA CONCHA FV CMTR 2SC200M ,1,PIEZA
011850LOZ00NG,GORRA E INSERTO DE PROTECCION NG ,1,PIEZA
011851INF0000,CARETA INF VENTANA PANORAM. 2SC40012 ,1,PIEZA
011890INF00AM,CACHUCHA INFRA 1CPM3 SUSP. NORMAL AM ,1,PIEZA
011890INF00AZ,CACHUCHA INFRA 1CPM6 SUSP. NORMAL AZ ,1,PIEZA
011890INF00BC,CACHUCHA INFRA 1CPM1 SUSP. NORMAL BC ,1,PIEZA
011890INF00NJ,CACHUCHA INFRA 1CPM4 SUSP. NORMAL NJ ,1,PIEZA
011890INF00RJ,CACHUCHA INFRA 1CPM2 SUSP. NORMAL RJ ,1,PIEZA
011890INF00VD,CACHUCHA INFRA 1CPM5 SUSP. NORMAL VD ,1,PIEZA
011900INF00NT,CASCO INF ALUMINIO CMAT 1CA2851M NT ,1,PIEZA
011910INF00AM,CASCO INF ALA ANCHA CMTR 1CP2151M AM,1,PIEZA
011910INF00AZ,CASCO INF ALA ANCHA CMTR 1CP2151M AZ,1,PIEZA
011910INF00BC,CASCO INF ALA ANCHA CMTR 1CP2151M BC,1,PIEZA
011910INF00NJ,CASCO INF ALA ANCHA CMTR 1CP2151M NJ,1,PIEZA
011910INF00RJ,CASCO INF ALA ANCHA CMTR 1CP2151M RJ,1,PIEZA
012050INF0000,PROTECTOR FACIAL INFRA CMTR 3PF500T ,1,PIEZA
012100INF0000,SUSPENCION INFRA MTR 2SCM21 ,1,PIEZA
012110JYR00AM,CACHUCHA JYR DIE E WW2002 SUSP. N AM,1,PIEZA
012110JYR00BC,CACHUCHA JYR DIE E WW2002 SUSP. N BC,1,PIEZA
012110JYR00NJ,CACHUCHA JYR DIE E WW2002 SUSP. N NJ,1,PIEZA
012200MBA00AM,COFIA JYR DE RED NYLON JYR1550 NG D,1,PIEZA
012250MBA00AZ,COFIA JYR DE RED 1545 NG D,1,PIEZA
012300MSA00GR,BARBUQUEJO MSA SMENTON M230564 GRIS ,1,PIEZA
012301MSA0000,BARBUQUEJO MSA  DE 4 PTOS PCACHUCHA ,1,PIEZA
012370MRS0000,ADAPTADOR PCASCO MRS SP1016  ,1,PIEZA
012500MSA00BC,CACHUCHA MSA CSUSP. NORMAL BC D,1,PIEZA
012510MSA00AM,CACHUCHA MSA CSUSP.MATRACA AM D,1,PIEZA
012510MSA00AZ,CACHUCHA MSA CSUSP.MATRACA AZ D,1,PIEZA
012510MSA00BC,CACHUCHA MSA CSUSP.MATRACA BC D,1,PIEZA
012510MSA00GR,CACHUCHA MSA CSUSP.MATRACA GR D,1,PIEZA
012510MSA00NG,CACHUCHA MSA CSUSP.MATRACA NG D,1,PIEZA
012540MSA01AM,CASCO MSA ALA COMP. CSUSP. MTR AM D,1,PIEZA
012540MSA01BC,CASCO MSA ALA COMP. CSUSP. MTR BC D,1,PIEZA
012650MSA0000,PROTECTOR MSA DE SOL PCASCO 697410 ,1,PIEZA
012700PGS00AC,CACHUCHA IGA SUSP. NORMAL  AC ,1,PIEZA
012700PGS00AF,CACHUCHA IGA SUSP. NRML E AM FLUOR. ,1,PIEZA
012700PGS00AM,CACHUCHA IGA SUSP. NORMAL AM ,1,PIEZA
012700PGS00AZ,CACHUCHA IGA SUSP. NORMAL AZ ,1,PIEZA
012700PGS00BC,CACHUCHA IGA SUSP. NORMAL BC ,1,PIEZA
012700PGS00GR,CACHUCHA IGA SUSP. NORMAL E GR ,1,PIEZA
012700PGS00NF,CACHUCHA IGA SUSP. NRML E NJ FLUOR. ,1,PIEZA
012700PGS00NG,CACHUCHA IGA SUSP. NORMAL E NG ,1,PIEZA
012700PGS00NJ,CACHUCHA IGA SUSP. NORMAL NJ ,1,PIEZA
012700PGS00RJ,CACHUCHA IGA SUSP. NORMAL RJ ,1,PIEZA
012700PGS00RS,CACHUCHA IGA SUSP. NORMAL E RS  ,1,PIEZA
012700PGS00VD,CACHUCHA IGA SUSP. NORMAL VD ,1,PIEZA
012700PGS00VF,CACHUCHA IGA SUSP. NRML E VD FLUOR. ,1,PIEZA
012800PGS00AM,CASCO IGA ALA COMP. SUSP. MATRACA AM ,1,PIEZA
012800PGS00BC,CASCO IGA ALA COMP. SUSP. MATRACA BC ,1,PIEZA
012800PGS00NJ,CASCO IGA ALA COMP. SUSP. MATRACA  NJ ,1,PIEZA
012801PGS00AM,CACHUCHA IGA DIE E SUSP. MATRACA AM ,1,PIEZA
012801PGS00AZ,CACHUCHA IGA DIE E SUSP. MATRACA AZ ,1,PIEZA
012801PGS00BC,CACHUCHA IGA DIE E SUSP. MATRACA BC ,1,PIEZA
012801PGS00NJ,CACHUCHA IGA DIE E SUSP. MATRACA NJ ,1,PIEZA
012803PGS00AM,CASCO HIT IGA 400001 CLASE G AM ,1,PIEZA
012803PGS00BC,CASCO HIT IGA 400001 CLASE G BC ,1,PIEZA
012803PGS00NJ,CASCO HIT IGA 400001 CLASE G NJ ,1,PIEZA
012805TAC0000,COFIA MRS PLISADA SP1004 AZ ,1,PIEZA
012816DER0000,CAPUCHON LBG  DER MEZCLILLA ME9720 ,1,PIEZA
012850VCG0000,CAPUCHON JPL DE MEZCLILLA ECON.,1,PIEZA
012870TRJ0000,CAPUCHON TRJ TELA CFORRO Y RESORTE NG,1,PIEZA
012871TRJ0000,CAPUCHA TRJ DE LYCRA 100% ALGODON ,1,PIEZA
012900VCG00AZ,CAPUCHON TRJ DE MEZCLILLA AZUL ,1,PIEZA
