Id_registro,Id_documento,Id_vendedor,Id_cliente,Serie,Folio_venta,Numero_partida,Clave,Cantidad_venta,Fecha_venta,Monto_partida,Numero_almacen
1,NCE0000000007,5,9999,NCE,7,1,SERV002,1,07/02/18,2096,1
2,NCE0000000008,11,171,NCE,8,1,SERV000,1,08/02/18,247.05,1
3,NCE0000000009,24,3898,NCE,9,1,SERV000,1,08/02/18,895.98,1
4,NCE0000000010,24,3898,NCE,10,1,SERV000,1,08/02/18,1791.96,1
5,NCE0000000011,3,1249,NCE,11,1,SERV002,1,09/02/18,998.89,1
6,NCE0000000012,3,5251,NCE,12,1,SERV002,1,09/02/18,378.6,1
7,NCE0000000013,3,3745,NCE,13,1,SERV002,1,09/02/18,5097.88,1
8,NCE0000000014,13,4273,NCE,14,1,SERV002,1,09/02/18,12136.8,1
9,PIO0000002250,3,3542,PIO,2250,4,012370MRS0000,10,10/01/18,461,1
10,PIO0000002240,3,2629,PIO,2240,4,012370MRS0000,2,10/01/18,92.2,6
11,PIO0000001746,13,1537,PIO,1746,6,012370MRS0000,4,02/01/18,184.4,6
12,PIO0000002829,11,3509,PIO,2829,3,012370MRS0000,20,18/01/18,887.8,1
13,PIO0000002831,12,3571,PIO,2831,5,012370MRS0000,2,18/01/18,88.78,6
14,PIO0000002735,13,9999,PIO,2735,5,012370MRS0000,1,17/01/18,46.1,4
15,PIO0000002623,3,4487,PIO,2623,1,012370MRS0000,5,16/01/18,230.5,6
16,PIO0000002509,3,1343,PIO,2509,2,012370MRS0000,1,15/01/18,46.1,6
17,PIO0000002520,3,4991,PIO,2520,4,012370MRS0000,1,15/01/18,46.1,6
18,PIO0000002474,3,4487,PIO,2474,1,012370MRS0000,5,12/01/18,230.5,6
19,PIO0000004085,3,4487,PIO,4085,7,012370MRS0000,1,06/02/18,46.1,6
20,PIO0000004085,3,4487,PIO,4085,4,012370MRS0000,2,06/02/18,92.2,6
21,PIO0000003902,7,4249,PIO,3902,8,012370MRS0000,5,01/02/18,230.5,6
22,PIO0000004604,11,3509,PIO,4604,1,012370MRS0000,10,13/02/18,443.9,1
23,PIO0000004441,3,4487,PIO,4441,1,012370MRS0000,3,12/02/18,138.3,6
24,PIO0000005369,3,4918,PIO,5369,1,012370MRS0000,6,23/02/18,276.6,6
25,PIO0000005322,11,4431,PIO,5322,1,012370MRS0000,1,22/02/18,44.39,6
26,PIO0000005310,3,2854,PIO,5310,1,012370MRS0000,15,22/02/18,665.85,6
27,PIO0000004942,3,3285,PIO,4942,4,012370MRS0000,5,19/02/18,230.5,6
28,PIO0000003856,5,9999,PIO,3856,1,SERV001,1,31/01/18,2096,1
29,PIO0000003859,5,4273,PIO,3859,1,SERV001,1,31/01/18,12136.8,1
30,PIO0000003858,3,1249,PIO,3858,1,SERV001,1,31/01/18,36.83,1
31,PIO0000003857,5,9999,PIO,3857,1,SERV001,1,31/01/18,378.59,1
32,PIO0000003854,5,3745,PIO,3854,1,SERV001,1,31/01/18,5097.89,1
33,PIO0000003855,3,1249,PIO,3855,1,SERV001,1,31/01/18,962.06,1
34,PIO0000005779,5,5323,PIO,5779,1,SERV001,1,28/02/18,185.25,1
35,PIO0000005778,5,4395,PIO,5778,1,SERV001,1,28/02/18,1883.25,1
36,PIO0000005782,18,3296,PIO,5782,1,SERV001,1,28/02/18,3325.55,1
37,PIO0000005781,5,9999,PIO,5781,1,SERV001,1,28/02/18,3879.31,1
38,PIO0000005780,12,5362,PIO,5780,1,SERV001,1,28/02/18,673.54,1
39,PIO0000002139,3,3943,PIO,2139,2,092010ALT0000,1,09/01/18,435.24,6
40,PIO0000001866,24,3122,PIO,1866,11,092010ALT0000,3,03/01/18,1209,1
41,PIO0000002936,11,533,PIO,2936,1,092010ALT0000,40,19/01/18,16764.8,1
42,PIO0000002378,11,991,PIO,2378,1,092010ALT0000,20,12/01/18,8060,1
43,PIO0000003481,11,4600,PIO,3481,5,092010ALT0000,2,26/01/18,838.24,6
44,PIO0000003372,7,5212,PIO,3372,1,092010ALT0000,10,25/01/18,4352.4,1
45,PIO0000003187,11,991,PIO,3187,3,092010ALT0000,15,23/01/18,6045,1
46,PIO0000003187,11,991,PIO,3187,4,092010ALT0000,2,23/01/18,806,4
47,PIO0000003187,11,991,PIO,3187,1,092010ALT0000,8,23/01/18,3224,6
48,PIO0000003027,3,4371,PIO,3027,1,092010ALT0000,2,22/01/18,870.48,6
49,PIO0000003097,18,5194,PIO,3097,1,092010ALT0000,2,22/01/18,870.48,6
50,PIO0000002959,11,3227,PIO,2959,1,092010ALT0000,2,19/01/18,806,1
51,PIO0000002957,7,4560,PIO,2957,4,092010ALT0000,2,19/01/18,870.48,6
52,PIO0000003809,3,1735,PIO,3809,1,092010ALT0000,1,31/01/18,435.24,6
53,PIO0000003809,3,1735,PIO,3809,9,092010ALT0000,1,31/01/18,435.24,6
54,PIO0000004700,3,4979,PIO,4700,1,092010ALT0000,2,14/02/18,870.48,6
55,PIO0000004730,13,9999,PIO,4730,1,092010ALT0000,8,14/02/18,3481.92,6
56,PIO0000004731,13,9999,PIO,4731,2,092010ALT0000,26,14/02/18,11316.24,6
57,PIO0000004481,15,1048,PIO,4481,1,092010ALT0000,4,12/02/18,1676.48,1
58,PIO0000004415,11,278,PIO,4415,1,092010ALT0000,1,12/02/18,419.12,1
59,PIO0000005372,3,4120,PIO,5372,1,092010ALT0000,1,23/02/18,435.24,6
60,PIO0000005349,3,4271,PIO,5349,3,092010ALT0000,1,22/02/18,430.24,6
61,PIO0000005212,18,5336,PIO,5212,10,092010ALT0000,1,21/02/18,403,6
62,PIO0000005590,11,5363,PIO,5590,3,092010ALT0000,2,27/02/18,838.24,1
63,PIO0000005535,12,5360,PIO,5535,7,092010ALT0000,1,26/02/18,419.12,6
64,PIO0000005673,11,2975,PIO,5673,15,092010ALT0000,2,28/02/18,838.24,1
65,PIO0000005683,3,5373,PIO,5683,1,092010ALT0000,2,28/02/18,870.48,6
66,PIO0000002181,7,4973,PIO,2181,1,092040ALT0000,2,09/01/18,999.44,6
67,PIO0000002699,3,4991,PIO,2699,1,092040ALT0000,2,17/01/18,1037.88,6
68,PIO0000003251,13,5204,PIO,3251,7,092040ALT0000,3,24/01/18,1556.82,6
69,PIO0000003232,13,4973,PIO,3232,7,092040ALT0000,4,24/01/18,1998.88,6
70,PIO0000003174,15,3658,PIO,3174,1,092040ALT0000,10,23/01/18,4805,1
71,PIO0000003098,3,5143,PIO,3098,2,092040ALT0000,1,22/01/18,518.94,6
72,PIO0000004201,3,5270,PIO,4201,1,092040ALT0000,4,07/02/18,2075.76,6
73,PIO0000005278,3,4991,PIO,5278,1,092040ALT0000,2,22/02/18,1037.88,1
74,PIO0000005213,18,5336,PIO,5213,1,092040ALT0000,1,21/02/18,480.5,6
75,PIO0000005128,7,4138,PIO,5128,1,092040ALT0000,1,21/02/18,499.72,6
76,PIO0000005129,7,4138,PIO,5129,1,092040ALT0000,3,21/02/18,1499.16,6
77,PIO0000004916,7,4991,PIO,4916,1,092040ALT0000,1,19/02/18,518.94,6
78,PIO0000004827,3,5310,PIO,4827,1,092040ALT0000,1,16/02/18,518.94,6
79,PIO0000005542,7,5184,PIO,5542,6,092040ALT0000,2,26/02/18,1037.88,6
80,PIO0000005673,11,2975,PIO,5673,19,092036ALT0000,2,28/02/18,1944.08,1
81,PIO0000002815,3,4262,PIO,2815,2,092060ALT0000,4,18/01/18,2567.92,6
82,PIO0000002257,11,3961,PIO,2257,1,090050ALT0000,6,10/01/18,1973.1,1
83,PIO0000002199,11,3411,PIO,2199,5,090050ALT0000,6,10/01/18,1897.2,1
84,PIO0000002175,15,2112,PIO,2175,5,090050ALT0000,10,09/01/18,3288.5,6
85,PIO0000002216,3,3090,PIO,2216,1,090050ALT0000,1,10/01/18,328.85,6
86,PIO0000002140,7,4803,PIO,2140,3,090050ALT0000,4,09/01/18,1366,6
87,PIO0000002164,11,4117,PIO,2164,1,090050ALT0000,10,09/01/18,3288.5,6
88,PIO0000002039,3,5120,PIO,2039,2,090050ALT0000,3,08/01/18,1024.5,6
89,PIO0000001716,3,5099,PIO,1716,1,090050ALT0000,3,02/01/18,1024.5,6
90,PIO0000002831,12,3571,PIO,2831,10,090050ALT0000,4,18/01/18,1315.4,1
91,PIO0000002768,7,4385,PIO,2768,3,090050ALT0000,3,17/01/18,1024.5,6
92,PIO0000002639,3,5153,PIO,2639,2,090050ALT0000,20,16/01/18,6577,1
93,PIO0000002649,11,4117,PIO,2649,2,090050ALT0000,6,16/01/18,1973.1,1
94,PIO0000002676,7,4803,PIO,2676,2,090050ALT0000,2,16/01/18,683,6
95,PIO0000002649,11,4117,PIO,2649,1,090050ALT0000,4,16/01/18,1315.4,6
96,PIO0000002360,12,3172,PIO,2360,1,090050ALT0000,1,11/01/18,341.5,1
97,PIO0000002338,3,5138,PIO,2338,1,090050ALT0000,1,11/01/18,328.85,6
98,PIO0000003523,7,4803,PIO,3523,1,090050ALT0000,3,29/01/18,1024.5,6
99,PIO0000003288,13,5206,PIO,3288,1,090050ALT0000,1,24/01/18,341.5,6
100,PIO0000003195,11,4117,PIO,3195,1,090050ALT0000,20,23/01/18,6577,1
101,PIO0000003127,12,3571,PIO,3127,1,090050ALT0000,2,23/01/18,657.7,6
102,PIO0000002973,13,5184,PIO,2973,1,090050ALT0000,3,19/01/18,1024.5,6
103,PIO0000002975,3,9999,PIO,2975,1,090050ALT0000,4,19/01/18,1366,6
104,PIO0000004128,18,5258,PIO,4128,12,090050ALT0000,2,06/02/18,683,1
105,PIO0000003962,13,5249,PIO,3962,2,090050ALT0000,1,02/02/18,341.5,6
106,PIO0000003841,7,5243,PIO,3841,1,090050ALT0000,1,31/01/18,341.5,6
107,PIO0000003754,7,4555,PIO,3754,1,090050ALT0000,3,31/01/18,1024.5,1
108,PIO0000003786,18,5234,PIO,3786,1,090050ALT0000,1,31/01/18,341.5,6
109,PIO0000004749,11,5300,PIO,4749,1,090050ALT0000,2,15/02/18,657.7,6
110,PIO0000004278,13,4029,PIO,4278,1,090050ALT0000,5,08/02/18,1644.25,6
111,PIO0000005300,3,4824,PIO,5300,1,090050ALT0000,9,22/02/18,3073.5,6
112,PIO0000005256,3,4433,PIO,5256,7,090050ALT0000,1,22/02/18,341.5,6
113,PIO0000005475,7,5356,PIO,5475,1,090050ALT0000,10,26/02/18,3288.5,6
114,PIO0000005572,18,3296,PIO,5572,11,090050ALT0000,18,27/02/18,5691.6,1
115,PIO0000005702,3,2142,PIO,5702,8,090050ALT0000,18,28/02/18,5919.3,6
116,PIO0000004879,13,3470,PIO,4879,2,094032DER0000,1,16/02/18,410.27,6
117,PIO0000002092,7,4796,PIO,2092,1,094120HWK0000,1,08/01/18,1170.31,1
118,PIO0000005017,18,1709,PIO,5017,17,094150HWK0000,1,20/02/18,1264.8,1
119,PIO0000005016,18,1709,PIO,5016,8,094150HWK0000,2,20/02/18,2529.6,1
120,PIO0000002358,11,1368,PIO,2358,4,094200HWK0000,3,11/01/18,1509.75,1
121,PIO0000002358,11,1368,PIO,2358,5,094200HWK0000,1,11/01/18,503.25,6
122,PIO0000005492,11,1368,PIO,5492,1,094200HWK0000,17,26/02/18,9696.12,1
123,PIO0000003098,3,5143,PIO,3098,1,094210HWK0000,1,22/01/18,1203.74,6
124,PIO0000003908,3,5177,PIO,3908,1,094210HWK0000,1,01/02/18,1094.85,1
125,PIO0000002134,7,9999,PIO,2134,1,094240HWK0000,1,09/01/18,1180.59,6
126,PIO0000002349,18,3308,PIO,2349,1,094270HWK0000,4,11/01/18,30666.04,1
127,PIO0000004041,3,9999,PIO,4041,1,097330HON0000,3,02/02/18,2009.34,1
128,PIO0000003703,7,5136,PIO,3703,1,097330HON0000,3,30/01/18,1810.62,6
129,PIO0000004041,3,9999,PIO,4041,2,097331HON0000,1,02/02/18,802.44,1
130,PIO0000002317,13,5136,PIO,2317,3,101063BYL0000,2,11/01/18,72.8,6
131,PIO0000002238,7,4371,PIO,2238,4,101063BYL0000,1,10/01/18,37.8,6
132,PIO0000002181,7,4973,PIO,2181,8,101063BYL0000,2,09/01/18,75.6,6
133,PIO0000001795,3,2368,PIO,1795,4,101063BYL0000,1,03/01/18,37.8,6
134,PIO0000001743,11,3961,PIO,1743,13,101063BYL0000,2,02/01/18,72.8,6
